No.,Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
20,MF,Jiří Skalák,12 March 1992 (aged 24),10,0,Brighton & Hove Albion,Czech Republic
21,FW,David Lafata,18 September 1981 (aged 34),39,9,Sparta Prague,Czech Republic
22,MF,Vladimír Darida,8 August 1990 (aged 25),36,1,Hertha BSC,Czech Republic
23,GK,Tomáš Koubek,26 August 1992 (aged 23),2,0,Slovan Liberec,Czech Republic
1,GK,Volkan Babacan,12 August 1988 (aged 27),17,0,İstanbul Başakşehir,Turkey
2,DF,Semih Kaya,24 February 1991 (aged 25),23,0,Galatasaray,Turkey
3,DF,Hakan Balta,23 March 1983 (aged 33),46,2,Galatasaray,Turkey
4,DF,Ahmet Yılmaz Çalık,26 February 1994 (aged 22),4,0,Gençlerbirliği,Turkey
5,MF,Nuri Şahin,5 September 1988 (aged 27),49,2,Borussia Dortmund,Turkey
6,MF,Hakan Çalhanoğlu,8 February 1994 (aged 22),19,6,Bayer Leverkusen,Turkey
7,DF,Gökhan Gönül,4 January 1985 (aged 31),57,1,Fenerbahçe,Turkey
8,MF,Selçuk İnan,10 February 1985 (aged 31),52,8,Galatasaray,Turkey
9,FW,Cenk Tosun,7 June 1991 (aged 25),9,3,Beşiktaş,Turkey
10,MF,Arda Turan,30 January 1987 (aged 29),91,17,Barcelona,Turkey
11,MF,Olcay Şahan,26 May 1987 (aged 29),24,2,Beşiktaş,Turkey
12,GK,Onur Kıvrak,1 January 1988 (aged 28),12,0,Trabzonspor,Turkey
13,DF,İsmail Köybaşı,10 July 1989 (aged 26),19,0,Beşiktaş,Turkey
14,MF,Oğuzhan Özyakup,23 September 1992 (aged 23),20,1,Beşiktaş,Turkey
15,MF,Mehmet Topal,3 March 1986 (aged 30),59,1,Fenerbahçe,Turkey
16,MF,Ozan Tufan,23 March 1995 (aged 21),24,1,Fenerbahçe,Turkey
17,FW,Burak Yılmaz,15 July 1985 (aged 30),44,20,Beijing Guoan,Turkey
18,MF,Caner Erkin,4 October 1988 (aged 27),47,2,Fenerbahçe,Turkey
19,MF,Yunus Mallı,24 February 1992 (aged 24),6,0,Mainz 05,Turkey
20,MF,Volkan Şen,7 July 1987 (aged 28),17,0,Fenerbahçe,Turkey
21,FW,Emre Mor,24 July 1997 (aged 18),2,0,Nordsjælland,Turkey
22,DF,Şener Özbayraklı,23 January 1990 (aged 26),8,0,Fenerbahçe,Turkey
23,GK,Harun Tekin,17 June 1989 (aged 26),0,0,Bursaspor,Turkey
1,GK,Ivan Vargić,15 March 1987 (aged 29),2,0,Rijeka,Croatia
2,DF,Šime Vrsaljko,10 January 1992 (aged 24),19,0,Sassuolo,Croatia
3,DF,Ivan Strinić,17 July 1987 (aged 28),35,0,Napoli,Croatia
4,MF,Ivan Perišić,2 February 1989 (aged 27),47,13,Inter Milan,Croatia
5,DF,Vedran Ćorluka,5 February 1986 (aged 30),88,4,Lokomotiv Moscow,Croatia
6,DF,Tin Jedvaj,28 November 1995 (aged 20),3,0,Bayer Leverkusen,Croatia
7,MF,Ivan Rakitić,10 March 1988 (aged 28),76,11,Barcelona,Croatia
8,MF,Mateo Kovačić,6 May 1994 (aged 22),27,1,Real Madrid,Croatia
9,FW,Andrej Kramarić,19 June 1991 (aged 24),11,4,1899 Hoffenheim,Croatia
10,MF,Luka Modrić,9 September 1985 (aged 30),90,10,Real Madrid,Croatia
11,DF,Darijo Srna,1 May 1982 (aged 34),130,22,Shakhtar Donetsk,Croatia
12,GK,Lovre Kalinić,3 April 1990 (aged 26),4,0,Hajduk Split,Croatia
13,DF,Gordon Schildenfeld,18 March 1985 (aged 31),27,1,Dinamo Zagreb,Croatia
14,MF,Marcelo Brozović,16 November 1992 (aged 23),17,4,Inter Milan,Croatia
15,MF,Marko Rog,19 July 1995 (aged 20),3,0,Dinamo Zagreb,Croatia
16,FW,Nikola Kalinić,5 January 1988 (aged 28),29,11,Fiorentina,Croatia
17,FW,Mario Mandžukić,21 May 1986 (aged 30),66,24,Juventus,Croatia
18,MF,Ante Ćorić,14 April 1997 (aged 19),2,0,Dinamo Zagreb,Croatia
19,MF,Milan Badelj,25 February 1989 (aged 27),20,1,Fiorentina,Croatia
20,FW,Marko Pjaca,6 May 1995 (aged 21),8,1,Dinamo Zagreb,Croatia
21,DF,Domagoj Vida,29 April 1989 (aged 27),38,1,Dynamo Kyiv,Croatia
22,FW,Duje Čop,1 February 1990 (aged 26),4,0,Málaga,Croatia
23,GK,Danijel Subašić,27 October 1984 (aged 31),21,0,Monaco,Croatia
1,GK,Thibaut Courtois,11 May 1992 (aged 24),37,0,Chelsea,Belgium
2,DF,Toby Alderweireld,2 March 1989 (aged 27),55,1,Tottenham Hotspur,Belgium
3,DF,Thomas Vermaelen,14 November 1985 (aged 30),53,1,Barcelona,Belgium
4,MF,Radja Nainggolan,4 May 1988 (aged 28),19,4,Roma,Belgium
5,DF,Jan Vertonghen,24 April 1987 (aged 29),77,6,Tottenham Hotspur,Belgium
6,MF,Axel Witsel,12 January 1989 (aged 27),67,6,Zenit Saint Petersburg,Belgium
7,FW,Kevin De Bruyne,28 June 1991 (aged 24),39,12,Manchester City,Belgium
8,MF,Marouane Fellaini,22 November 1987 (aged 28),68,15,Manchester United,Belgium
9,FW,Romelu Lukaku,13 May 1993 (aged 23),44,12,Everton,Belgium
10,FW,Eden Hazard,7 January 1991 (aged 25),65,13,Chelsea,Belgium
11,FW,Yannick Carrasco,4 September 1993 (aged 22),4,0,Atlético Madrid,Belgium
12,GK,Simon Mignolet,6 March 1988 (aged 28),16,0,Liverpool,Belgium
13,GK,Jean-François Gillet,31 May 1979 (aged 37),9,0,Mechelen,Belgium
14,FW,Dries Mertens,6 May 1987 (aged 29),45,8,Napoli,Belgium
15,DF,Jason Denayer,28 June 1995 (aged 20),7,0,Galatasaray,Belgium
16,DF,Thomas Meunier,12 September 1991 (aged 24),5,0,Club Brugge,Belgium
17,FW,Divock Origi,18 April 1995 (aged 21),19,3,Liverpool,Belgium
18,DF,Christian Kabasele,24 February 1991 (aged 25),0,0,Genk,Belgium
19,MF,Mousa Dembélé,16 July 1987 (aged 28),65,5,Tottenham Hotspur,Belgium
20,FW,Christian Benteke,3 December 1990 (aged 25),26,6,Liverpool,Belgium
21,DF,Jordan Lukaku,25 July 1994 (aged 21),4,0,Oostende,Belgium
22,FW,Michy Batshuayi,2 October 1993 (aged 22),5,2,Marseille,Belgium
23,DF,Laurent Ciman,5 August 1985 (aged 30),11,1,Montreal Impact,Belgium
1,GK,Gianluigi Buffon,28 January 1978 (aged 38),157,0,Juventus,Italy
2,DF,Mattia De Sciglio,20 October 1992 (aged 23),22,0,Milan,Italy
3,DF,Giorgio Chiellini,14 August 1984 (aged 31),84,6,Juventus,Italy
4,DF,Matteo Darmian,2 December 1989 (aged 26),22,1,Manchester United,Italy
5,DF,Angelo Ogbonna,23 May 1988 (aged 28),11,0,West Ham United,Italy
6,MF,Antonio Candreva,28 February 1987 (aged 29),38,4,Lazio,Italy
7,FW,Simone Zaza,25 June 1991 (aged 24),11,1,Juventus,Italy
8,MF,Alessandro Florenzi,11 March 1991 (aged 25),17,2,Roma,Italy
9,FW,Graziano Pellè,15 July 1985 (aged 30),13,5,Southampton,Italy
10,MF,Thiago Motta,28 August 1982 (aged 33),26,1,Paris Saint-Germain,Italy
11,FW,Ciro Immobile,20 February 1990 (aged 26),13,1,Torino,Italy
12,GK,Salvatore Sirigu,12 January 1987 (aged 29),16,0,Paris Saint-Germain,Italy
13,GK,Federico Marchetti,7 February 1983 (aged 33),11,0,Lazio,Italy
14,MF,Stefano Sturaro,9 March 1993 (aged 23),1,0,Juventus,Italy
15,DF,Andrea Barzagli,8 May 1981 (aged 35),56,0,Juventus,Italy
16,MF,Daniele De Rossi,24 July 1983 (aged 32),103,18,Roma,Italy
17,FW,Éder,15 November 1986 (aged 29),10,2,Internazionale,Italy
18,MF,Marco Parolo,25 January 1985 (aged 31),20,0,Lazio,Italy
19,DF,Leonardo Bonucci,1 May 1987 (aged 29),57,3,Juventus,Italy
20,FW,Lorenzo Insigne,4 June 1991 (aged 25),9,2,Napoli,Italy
21,MF,Federico Bernardeschi,16 February 1994 (aged 22),4,0,Fiorentina,Italy
22,MF,Stephan El Shaarawy,27 October 1992 (aged 23),19,3,Roma,Italy
23,MF,Emanuele Giaccherini,5 May 1985 (aged 31),25,3,Bologna,Italy
1,GK,Keiren Westwood,23 October 1984 (aged 31),18,0,Sheffield Wednesday,Republic of Ireland
2,DF,Séamus Coleman,11 October 1988 (aged 27),34,0,Everton,Republic of Ireland
3,DF,Ciaran Clark,26 September 1989 (aged 26),17,2,Aston Villa,Republic of Ireland
4,DF,John O'Shea,30 April 1981 (aged 35),111,3,Sunderland,Republic of Ireland
5,DF,Richard Keogh,11 August 1986 (aged 29),12,1,Derby County,Republic of Ireland
6,MF,Glenn Whelan,13 January 1984 (aged 32),71,2,Stoke City,Republic of Ireland
7,MF,Aiden McGeady,4 April 1986 (aged 30),82,5,Sheffield Wednesday,Republic of Ireland
8,MF,James McCarthy,12 November 1990 (aged 25),35,0,Everton,Republic of Ireland
9,FW,Shane Long,22 January 1987 (aged 29),63,16,Southampton,Republic of Ireland
10,FW,Robbie Keane,8 July 1980 (aged 35),143,67,LA Galaxy,Republic of Ireland
11,MF,James McClean,22 April 1989 (aged 27),38,5,West Bromwich Albion,Republic of Ireland
12,DF,Shane Duffy,1 January 1992 (aged 24),3,0,Blackburn Rovers,Republic of Ireland
13,MF,Jeff Hendrick,31 January 1992 (aged 24),21,0,Derby County,Republic of Ireland
14,FW,Jonathan Walters,20 September 1983 (aged 32),39,10,Stoke City,Republic of Ireland
15,DF,Cyrus Christie,30 September 1992 (aged 23),5,1,Derby County,Republic of Ireland
16,GK,Shay Given,20 April 1976 (aged 40),134,0,Stoke City,Republic of Ireland
17,DF,Stephen Ward,20 August 1985 (aged 30),33,3,Burnley,Republic of Ireland
18,MF,David Meyler,29 May 1989 (aged 27),16,0,Hull City,Republic of Ireland
19,MF,Robbie Brady,14 January 1992 (aged 24),23,4,Norwich City,Republic of Ireland
20,MF,Wes Hoolahan,20 May 1982 (aged 34),30,2,Norwich City,Republic of Ireland
21,FW,Daryl Murphy,15 March 1983 (aged 33),20,0,Ipswich Town,Republic of Ireland
22,MF,Stephen Quinn,4 April 1986 (aged 30),15,0,Reading,Republic of Ireland
23,GK,Darren Randolph,12 May 1987 (aged 29),9,0,West Ham United,Republic of Ireland
1,GK,Andreas Isaksson,3 October 1981 (aged 34),130,0,Kasımpaşa,Sweden
2,DF,Mikael Lustig,13 December 1986 (aged 29),52,3,Celtic,Sweden
3,DF,Erik Johansson,30 December 1988 (aged 27),9,0,Copenhagen,Sweden
4,DF,Andreas Granqvist,16 April 1985 (aged 31),52,3,Krasnodar,Sweden
5,DF,Martin Olsson,17 May 1988 (aged 28),35,5,Norwich City,Sweden
6,MF,Emil Forsberg,23 October 1991 (aged 24),17,2,RB Leipzig,Sweden
7,MF,Sebastian Larsson,6 June 1985 (aged 31),84,6,Sunderland,Sweden
8,MF,Albin Ekdal,28 July 1989 (aged 26),22,0,Hamburger SV,Sweden
9,MF,Kim Källström,24 August 1982 (aged 33),128,16,Grasshopper,Sweden
10,FW,Zlatan Ibrahimović,3 October 1981 (aged 34),113,62,Paris Saint-Germain,Sweden
11,FW,Marcus Berg,17 August 1986 (aged 29),38,10,Panathinaikos,Sweden
12,GK,Robin Olsen,8 January 1990 (aged 26),4,0,Copenhagen,Sweden
13,DF,Pontus Jansson,13 February 1991 (aged 25),8,0,Torino,Sweden
14,DF,Victor Lindelöf,17 July 1994 (aged 21),3,0,Benfica,Sweden
15,MF,Oscar Hiljemark,28 June 1992 (aged 23),10,1,Palermo,Sweden
16,MF,Pontus Wernbloom,25 June 1986 (aged 29),51,2,CSKA Moscow,Sweden
17,DF,Ludwig Augustinsson,21 April 1994 (aged 22),4,0,Copenhagen,Sweden
18,MF,Oscar Lewicki,14 July 1992 (aged 23),10,0,Malmö FF,Sweden
19,FW,Emir Kujović,22 June 1988 (aged 27),4,1,IFK Norrköping,Sweden
20,FW,John Guidetti,15 April 1992 (aged 24),9,1,Celta Vigo,Sweden
21,MF,Jimmy Durmaz,22 March 1989 (aged 27),32,2,Olympiacos,Sweden
22,MF,Erkan Zengin,5 August 1985 (aged 30),20,3,Trabzonspor,Sweden
23,GK,Patrik Carlgren,8 January 1992 (aged 24),1,0,AIK,Sweden
1,GK,Rui Patrício,15 February 1988 (aged 28),45,0,Sporting CP,Portugal
2,DF,Bruno Alves,27 November 1981 (aged 34),85,10,Fenerbahçe,Portugal
3,DF,Pepe,26 February 1983 (aged 33),71,3,Real Madrid,Portugal
4,DF,José Fonte,22 December 1983 (aged 32),12,0,Southampton,Portugal
5,DF,Raphaël Guerreiro,22 December 1993 (aged 22),7,2,Lorient,Portugal
6,DF,Ricardo Carvalho,18 May 1978 (aged 38),86,5,Monaco,Portugal
7,FW,Cristiano Ronaldo,5 February 1985 (aged 31),126,58,Real Madrid,Portugal
8,MF,João Moutinho,8 September 1986 (aged 29),84,4,Monaco,Portugal
9,FW,Eder,22 December 1987 (aged 28),26,3,Lille,Portugal
10,MF,João Mário,19 January 1993 (aged 23),11,0,Sporting CP,Portugal
11,MF,Vieirinha,24 January 1986 (aged 30),22,1,VfL Wolfsburg,Portugal
12,GK,Anthony Lopes,1 October 1990 (aged 25),4,0,Lyon,Portugal
13,MF,Danilo,9 September 1991 (aged 24),12,1,Porto,Portugal
14,MF,William Carvalho,7 April 1992 (aged 24),20,0,Sporting CP,Portugal
15,MF,André Gomes,30 July 1993 (aged 22),8,0,Valencia,Portugal
16,MF,Renato Sanches,18 August 1997 (aged 18),5,0,Benfica,Portugal
17,FW,Nani,17 November 1986 (aged 29),96,17,Fenerbahçe,Portugal
18,MF,Rafa Silva,17 May 1993 (aged 23),8,0,Braga,Portugal
19,DF,Eliseu,1 October 1983 (aged 32),16,1,Benfica,Portugal
20,FW,Ricardo Quaresma,26 September 1983 (aged 32),50,7,Beşiktaş,Portugal
21,DF,Cédric,31 August 1991 (aged 24),11,0,Southampton,Portugal
22,GK,Eduardo,19 September 1982 (aged 33),35,0,Dinamo Zagreb,Portugal
23,MF,Adrien Silva,15 March 1989 (aged 27),9,0,Sporting CP,Portugal
1,GK,Hannes Þór Halldórsson,27 April 1984 (aged 32),33,0,Bodø/Glimt,Iceland
2,DF,Birkir Már Sævarsson,11 November 1984 (aged 31),57,1,Hammarby IF,Iceland
3,DF,Haukur Heiðar Hauksson,1 September 1991 (aged 24),7,0,AIK,Iceland
4,DF,Hjörtur Hermannsson,8 February 1995 (aged 21),3,0,IFK Göteborg,Iceland
5,DF,Sverrir Ingi Ingason,5 August 1993 (aged 22),6,2,Lokeren,Iceland
6,DF,Ragnar Sigurðsson,19 June 1986 (aged 29),56,1,Krasnodar,Iceland
7,MF,Jóhann Berg Guðmundsson,27 October 1990 (aged 25),47,5,Charlton Athletic,Iceland
8,MF,Birkir Bjarnason,27 May 1988 (aged 28),47,6,Basel,Iceland
9,FW,Kolbeinn Sigþórsson,14 March 1990 (aged 26),39,20,Nantes,Iceland
10,MF,Gylfi Sigurðsson,8 September 1989 (aged 26),39,13,Swansea City,Iceland
11,FW,Alfreð Finnbogason,1 February 1989 (aged 27),34,8,FC Augsburg,Iceland
12,GK,Ögmundur Kristinsson,19 June 1989 (aged 26),11,0,Hammarby IF,Iceland
13,GK,Ingvar Jónsson,18 October 1989 (aged 26),5,0,Sandefjord,Iceland
14,DF,Kári Árnason,13 October 1982 (aged 33),47,2,Malmö FF,Iceland
15,FW,Jón Daði Böðvarsson,25 May 1992 (aged 24),21,1,1. FC Kaiserslautern,Iceland
16,MF,Rúnar Már Sigurjónsson,18 June 1990 (aged 25),11,1,GIF Sundsvall,Iceland
17,MF,Aron Gunnarsson,22 April 1989 (aged 27),59,2,Cardiff City,Iceland
18,MF,Theódór Elmar Bjarnason,4 March 1987 (aged 29),27,0,AGF,Iceland
19,DF,Hörður Björgvin Magnússon,11 February 1993 (aged 23),5,0,Cesena,Iceland
20,MF,Emil Hallfreðsson,29 June 1984 (aged 31),54,1,Udinese,Iceland
21,MF,Arnór Ingvi Traustason,30 April 1993 (aged 23),7,3,IFK Norrköping,Iceland
22,FW,Eiður Guðjohnsen,15 September 1978 (aged 37),86,26,Molde,Iceland
23,DF,Ari Freyr Skúlason,14 May 1987 (aged 29),38,0,OB,Iceland
1,GK,Robert Almer,20 March 1984 (aged 32),28,0,Austria Wien,Austria
2,DF,György Garics,8 March 1984 (aged 32),41,2,Darmstadt 98,Austria
3,DF,Aleksandar Dragović,6 March 1991 (aged 25),47,1,Dynamo Kyiv,Austria
4,DF,Martin Hinteregger,7 September 1992 (aged 23),14,0,Borussia Mönchengladbach,Austria
5,DF,Christian Fuchs,7 April 1986 (aged 30),75,1,Leicester City,Austria
6,MF,Stefan Ilsanker,18 May 1989 (aged 27),16,0,RB Leipzig,Austria
7,FW,Marko Arnautović,19 April 1989 (aged 27),52,11,Stoke City,Austria
8,DF,David Alaba,24 June 1992 (aged 23),46,11,Bayern Munich,Austria
9,FW,Rubin Okotie,6 June 1987 (aged 29),17,2,1860 Munich,Austria
10,MF,Zlatko Junuzović,26 September 1987 (aged 28),48,7,Werder Bremen,Austria
11,MF,Martin Harnik,10 June 1987 (aged 29),58,14,VfB Stuttgart,Austria
12,GK,Heinz Lindner,17 July 1990 (aged 25),8,0,Eintracht Frankfurt,Austria
13,DF,Markus Suttner,16 April 1987 (aged 29),16,0,Ingolstadt 04,Austria
14,MF,Julian Baumgartlinger,2 January 1988 (aged 28),45,1,Mainz 05,Austria
15,DF,Sebastian Prödl,21 June 1987 (aged 28),57,4,Watford,Austria
16,DF,Kevin Wimmer,15 November 1992 (aged 23),3,0,Tottenham Hotspur,Austria
17,DF,Florian Klein,17 November 1986 (aged 29),37,0,VfB Stuttgart,Austria
18,MF,Alessandro Schöpf,7 February 1994 (aged 22),4,1,Schalke 04,Austria
19,FW,Lukas Hinterseer,28 March 1991 (aged 25),10,0,Ingolstadt 04,Austria
20,MF,Marcel Sabitzer,17 March 1994 (aged 22),18,3,RB Leipzig,Austria
21,FW,Marc Janko,25 June 1983 (aged 32),54,26,Basel,Austria
22,MF,Jakob Jantscher,8 January 1989 (aged 27),22,1,Luzern,Austria
23,GK,Ramazan Özcan,28 June 1984 (aged 31),7,0,Ingolstadt 04,Austria
1,GK,Gábor Király,1 April 1976 (aged 40),103,0,Haladás,Hungary
2,DF,Ádám Lang,17 January 1993 (aged 23),11,0,Videoton,Hungary
3,DF,Mihály Korhut,1 December 1988 (aged 27),4,0,Debrecen,Hungary
4,DF,Tamás Kádár,14 March 1990 (aged 26),30,0,Lech Poznań,Hungary
5,DF,Attila Fiola,17 February 1990 (aged 26),15,0,Puskás Akadémia,Hungary
6,MF,Ákos Elek,21 July 1988 (aged 27),38,1,Diósgyőri VTK,Hungary
7,MF,Balázs Dzsudzsák,23 December 1986 (aged 29),78,18,Bursaspor,Hungary
8,MF,Ádám Nagy,17 June 1995 (aged 20),8,0,Ferencváros,Hungary
9,FW,Ádám Szalai,9 December 1987 (aged 28),32,8,Hannover 96,Hungary
10,MF,Zoltán Gera,22 April 1979 (aged 37),89,24,Ferencváros,Hungary
11,FW,Krisztián Németh,5 January 1989 (aged 27),24,3,Al-Gharafa,Hungary
12,GK,Dénes Dibusz,16 November 1990 (aged 25),4,0,Ferencváros,Hungary
13,FW,Dániel Böde,24 October 1986 (aged 29),12,4,Ferencváros,Hungary
14,MF,Gergő Lovrencsics,1 September 1988 (aged 27),12,1,Lech Poznań,Hungary
15,MF,László Kleinheisler,8 April 1994 (aged 22),5,1,Werder Bremen,Hungary
16,MF,Ádám Pintér,12 June 1988 (aged 27),21,0,Ferencváros,Hungary
17,FW,Nemanja Nikolić,31 December 1987 (aged 28),18,3,Legia Warsaw,Hungary
18,MF,Zoltán Stieber,16 October 1988 (aged 27),12,2,1. FC Nürnberg,Hungary
19,FW,Tamás Priskin,27 September 1986 (aged 29),56,17,Slovan Bratislava,Hungary
20,DF,Richárd Guzmics,16 April 1987 (aged 29),14,1,Wisła Kraków,Hungary
21,DF,Barnabás Bese,6 May 1994 (aged 22),1,0,MTK Budapest,Hungary
22,GK,Péter Gulácsi,6 May 1990 (aged 26),3,0,RB Leipzig,Hungary
23,DF,Roland Juhász,1 July 1983 (aged 32),91,6,Videoton,Hungary
